Epoch:0166 loss:1.215 acc:56.70
Epoch:0209 loss:1.169 acc:59.90
Epoch:0086 loss:1.214 acc:55.80
Epoch:0191 loss:1.174 acc:58.00
Epoch:0156 loss:1.177 acc:58.80
Epoch:0223 loss:1.155 acc:62.80
Epoch:0231 loss:1.145 acc:59.60
Epoch:0066 loss:1.125 acc:60.30
Epoch:0050 loss:1.178 acc:59.60
Epoch:0087 loss:1.181 acc:58.20
Epoch:0115 loss:1.154 acc:58.80
Epoch:0117 loss:1.170 acc:59.60
Epoch:0084 loss:1.223 acc:56.90
Epoch:0042 loss:1.194 acc:57.20
Epoch:0089 loss:1.137 acc:60.30
Epoch:0145 loss:1.112 acc:62.40
Epoch:0135 loss:1.174 acc:57.90
Epoch:0265 loss:1.168 acc:59.90
Epoch:0073 loss:1.173 acc:59.00
Epoch:0159 loss:1.139 acc:59.50
