Epoch:0058 loss:1.267 acc:55.50
Epoch:0084 loss:1.234 acc:55.60
Epoch:0190 loss:1.291 acc:53.80
Epoch:0190 loss:1.240 acc:55.80
Epoch:0177 loss:1.244 acc:57.20
Epoch:0073 loss:1.202 acc:58.60
Epoch:0199 loss:1.246 acc:54.70
Epoch:0030 loss:1.260 acc:54.30
Epoch:0124 loss:1.277 acc:55.00
Epoch:0066 loss:1.310 acc:52.80
Epoch:0181 loss:1.212 acc:57.70
Epoch:0131 loss:1.214 acc:58.80
Epoch:0139 loss:1.209 acc:57.50
Epoch:0073 loss:1.274 acc:55.00
Epoch:0098 loss:1.275 acc:54.30
Epoch:0169 loss:1.240 acc:57.20
Epoch:0114 loss:1.234 acc:56.30
Epoch:0188 loss:1.243 acc:56.30
Epoch:0033 loss:1.246 acc:55.60
Epoch:0090 loss:1.259 acc:56.20
