Epoch:0140 loss:0.956 acc:67.40
Epoch:0108 loss:0.946 acc:67.90
Epoch:0030 loss:0.986 acc:66.30
Epoch:0038 loss:0.931 acc:68.10
Epoch:0093 loss:0.921 acc:69.80
Epoch:0126 loss:0.915 acc:70.80
Epoch:0048 loss:0.918 acc:67.90
Epoch:0105 loss:0.930 acc:68.40
Epoch:0067 loss:0.936 acc:69.20
Epoch:0033 loss:0.931 acc:68.10
Epoch:0139 loss:0.899 acc:71.30
Epoch:0072 loss:0.930 acc:68.40
Epoch:0112 loss:0.932 acc:68.00
Epoch:0033 loss:0.933 acc:64.80
Epoch:0072 loss:0.967 acc:66.40
Epoch:0124 loss:0.922 acc:68.40
Epoch:0041 loss:0.937 acc:65.80
Epoch:0053 loss:0.948 acc:66.30
Epoch:0038 loss:0.900 acc:68.30
Epoch:0027 loss:0.949 acc:65.60
